               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.034252,            0.029152,            0.005775,             0.74632,             0.16903,             0.20897,             0.10803,            0.052582,            0.039291,            0.029941,            0.002674,            0.002674,            0.002674
                 113,            0.034121,            0.028973,           0.0064724,             0.69504,             0.17985,             0.21583,             0.11136,            0.053294,            0.039207,            0.029565,            0.002608,            0.002608,            0.002608
                 114,            0.033494,            0.030229,           0.0056929,             0.44707,             0.22157,             0.21487,             0.11114,            0.053115,            0.039032,            0.029526,            0.002542,            0.002542,            0.002542
                 115,            0.032669,             0.02723,           0.0068594,             0.58843,             0.21432,             0.23845,              0.1073,            0.055197,            0.038376,            0.029028,            0.002476,            0.002476,            0.002476
                 116,            0.031804,            0.026846,           0.0059931,             0.60306,             0.22837,             0.24246,               0.115,            0.055316,            0.038429,            0.029128,             0.00241,             0.00241,             0.00241
                 117,            0.033099,            0.030952,           0.0055985,             0.47904,             0.24027,             0.23496,             0.10627,            0.053506,            0.039207,            0.029023,            0.002344,            0.002344,            0.002344
                 118,            0.033034,            0.027387,           0.0054794,             0.43106,              0.2506,             0.22819,             0.10963,            0.053321,             0.03952,             0.02884,            0.002278,            0.002278,            0.002278
                 119,            0.033634,            0.031578,           0.0055026,             0.54774,             0.25169,              0.2433,             0.11846,            0.051861,            0.039886,            0.028431,            0.002212,            0.002212,            0.002212
                 120,            0.031813,            0.027803,           0.0049223,             0.44528,             0.26256,             0.23723,             0.11487,            0.052382,            0.039955,            0.028121,            0.002146,            0.002146,            0.002146
                 121,             0.03377,            0.033286,           0.0056295,             0.64538,             0.20129,             0.22609,             0.11427,             0.05225,            0.039436,            0.028221,             0.00208,             0.00208,             0.00208
                 122,            0.032507,            0.030171,           0.0057546,             0.58994,             0.22118,             0.22459,             0.11232,            0.052998,            0.039101,            0.028248,            0.002014,            0.002014,            0.002014
                 123,            0.032568,             0.03157,           0.0052006,              0.7885,             0.19805,             0.23103,             0.10858,            0.053139,            0.039223,             0.02811,            0.001948,            0.001948,            0.001948
                 124,            0.030935,            0.028019,           0.0052097,             0.77697,             0.19442,             0.23196,             0.10563,            0.053556,            0.039757,            0.027402,            0.001882,            0.001882,            0.001882
                 125,            0.030852,            0.025249,           0.0062474,             0.42001,             0.25006,             0.23456,             0.10644,            0.053344,            0.039711,            0.027109,            0.001816,            0.001816,            0.001816
                 126,            0.031972,            0.028145,           0.0053318,             0.86193,             0.17848,             0.24191,              0.1094,            0.053337,            0.039742,            0.027397,             0.00175,             0.00175,             0.00175
                 127,            0.031397,            0.025877,           0.0063766,             0.42647,             0.24622,             0.22908,             0.11087,            0.053339,            0.039948,            0.027629,            0.001684,            0.001684,            0.001684
                 128,            0.032398,            0.029155,           0.0048716,             0.38684,             0.24164,             0.22808,             0.11182,            0.054346,            0.039803,            0.027623,            0.001618,            0.001618,            0.001618
                 129,            0.031004,            0.029491,           0.0055866,             0.61674,             0.21471,             0.24539,             0.11425,            0.054472,            0.039307,            0.027601,            0.001552,            0.001552,            0.001552
                 130,            0.031191,            0.027039,           0.0061132,             0.68758,             0.21406,             0.25341,              0.1201,            0.052939,            0.039619,            0.027762,            0.001486,            0.001486,            0.001486
                 131,            0.030267,            0.027703,           0.0054527,             0.77376,             0.20653,             0.24754,             0.11427,             0.05337,             0.03968,            0.027933,             0.00142,             0.00142,             0.00142
                 132,            0.030534,            0.028874,           0.0049723,             0.74351,             0.21026,             0.23941,             0.10652,            0.053466,            0.040199,            0.028027,            0.001354,            0.001354,            0.001354
                 133,            0.031488,             0.02859,           0.0051092,              0.7284,             0.21624,             0.23184,              0.1058,            0.053432,            0.040459,            0.028127,            0.001288,            0.001288,            0.001288
